date,category,amount,payment_method,note,month,day
2025-02-24,Food,2790.88,Credit Card,Lunch,2025-02,Monday
2025-05-15,Shopping,2427.48,Cash,Medicine,2025-05,Thursday
2025-02-03,Bills,1448.85,Debit Card,Online Course,2025-02,Monday
2025-05-04,Travel,3807.9,Credit Card,Electricity Bill,2025-05,Sunday
2025-04-24,Education,3781.77,Cash,Movie,2025-04,Thursday
2025-01-13,Shopping,1925.85,Debit Card,Movie,2025-01,Monday
2025-03-26,Travel,4499.11,Cash,Online Course,2025-03,Wednesday
2025-05-23,Transport,2763.28,Cash,Electricity Bill,2025-05,Friday
2025-06-14,Bills,1692.87,Credit Card,Movie,2025-06,Saturday
2025-06-26,Healthcare,4012.74,Credit Card,Online Course,2025-06,Thursday
2025-05-08,Travel,2452.09,Cash,Fuel,2025-05,Thursday
2025-03-20,Bills,2964.55,Cash,Online Course,2025-03,Thursday
2025-03-25,Travel,1847.6,UPI,Lunch,2025-03,Tuesday
2025-05-13,Entertainment,3482.18,Debit Card,Fuel,2025-05,Tuesday
2025-06-30,Bills,1767.96,Credit Card,Electricity Bill,2025-06,Monday
2025-04-17,Travel,1694.91,UPI,Lunch,2025-04,Thursday
2025-06-08,Healthcare,868.11,Credit Card,Electricity Bill,2025-06,Sunday
2025-03-02,Bills,844.3,Cash,Electricity Bill,2025-03,Sunday
2025-02-12,Education,2062.21,UPI,Online Course,2025-02,Wednesday
2025-05-07,Education,2713.41,Credit Card,Groceries,2025-05,Wednesday
2025-03-16,Shopping,3073.67,UPI,Fuel,2025-03,Sunday
2025-02-27,Food,328.72,Credit Card,Lunch,2025-02,Thursday
2025-02-25,Education,4502.91,Cash,Lunch,2025-02,Tuesday
2025-01-04,Education,54.61,Credit Card,Bus Ticket,2025-01,Saturday
2025-01-07,Food,4260.55,Cash,Lunch,2025-01,Tuesday
2025-01-31,Entertainment,2751.19,Credit Card,Groceries,2025-01,Friday
2025-06-28,Education,4469.87,Cash,Electricity Bill,2025-06,Saturday
2025-03-20,Healthcare,2507.54,Debit Card,Movie,2025-03,Thursday
2025-06-28,Travel,4078.83,UPI,Bus Ticket,2025-06,Saturday
2025-01-26,Healthcare,2728.32,UPI,Bus Ticket,2025-01,Sunday
2025-04-26,Food,4027.35,Debit Card,Movie,2025-04,Saturday
2025-02-07,Transport,4270.58,Debit Card,Movie,2025-02,Friday
